1,0.256
2,0.602
3,0.915
4,0.006
5,0.177
6,0.312
7,0.449
8,0.903
9,0.841
10,0.946
11,0.002
12,0.307
13,0.786
14,0.299
15,0.5
16,0.616
17,0.899
18,0.935
19,0.913
20,0.955
21,0.766
22,0.169
23,0.274
24,0.374
25,0.623
26,0.79
27,0.89
28,0.785
29,0.578
30,0.746
31,0.902
32,0.934
33,0.953
34,0.926
35,0.96
36,0.894
37,0.426
38,0.31
39,0.421
40,0.554
41,0.676
42,0.685
43,0.735
44,0.856
45,0.927
46,0.9
47,0.914
48,0.952
49,0.955
50,0.261
51,0.357
52,0.546
53,0.692
54,0.699
55,0.894
56,0.85
57,0.95
58,0.917
59,0.957
60,0.321
61,0.675
62,0.77
63,0.903
64,0.951
