1,2.303
2,2.35
3,2.547
4,0.574
5,1.2
6,1.045
7,0.432
8,0.51
9,0.619
10,1.396
11,1.777
12,2.517
13,2.3
14,0.127
15,1.677
16,0.184
17,0.365
18,1.014
19,0.843
20,0.237
21,0.124
22,0.054
23,3.157
24,0.182
25,0.634
26,0.547
27,0.715
28,1.849
29,0.859
30,0.411
31,1.171
32,0.095
33,0.715
34,3.236
35,1.014
36,0.356
37,0.302
38,0.365
39,1.905
40,2.112
41,2.414
42,3.531
43,3.692
44,0.747
45,2.567
46,3.426
47,1.59
48,0.452
49,4.935
50,2.418
51,1.116
52,0.487
53,0.365
54,0.305
55,1.078
56,1.176
57,0.51
58,0.17
59,1.229
60,1.724
61,4.494
62,7.463
63,1.466
64,2.064
65,3.236
66,4.054
67,1.252
68,1.823
69,2.964
70,2.898
71,1.738
72,0.732
73,2.211
74,1.687
75,1.684
76,2.35
77,2.547
78,0.478
79,0.802
80,1.261
81,0.184
82,0.466
83,2.362
84,1.614
