1,4.648
2,7.463
3,8.72
4,1.466
5,2.064
6,3.236
7,4.054
8,6.395
9,4.638
10,6.095
11,1.252
12,1.823
13,2.964
14,2.898
15,1.738
16,0.732
17,5.09
18,5.145
19,3.692
20,6.069
21,0
22,2.211
23,1.687
24,1.684
25,2.35
26,2.579
27,4.24
28,0
29,0.478
30,0.802
31,2.56
32,4.09
33,5.045
34,3.449
35,5.652
36,0
37,1.261
38,0.184
39,0.466
40,2.362
41,1.614
42,1.116
43,0.487
44,1.2
45,3.569
46,2.136
47,2.562
48,4.515
49,5.016
50,0.365
51,0.305
52,1.078
53,1.176
54,0.559
55,1.604
56,0.795
57,4.043
58,2.291
59,4.372
60,0
61,1.229
62,1.724
63,2.044
64,3.954
